,Date Announced,Deceased,Hospitalized,Recovered,Active
0,2020-03-21,0.0,1.0,1.0,0.0
1,2020-03-23,0.0,1.0,1.0,0.0
2,2020-03-25,0.0,1.0,1.0,0.0
3,2020-03-28,0.0,1.0,1.0,0.0
4,2020-04-01,0.0,1.0,1.0,0.0
5,2020-04-09,1.0,1.0,0.0,1.0
6,2020-04-28,0.0,1.0,1.0,0.0
7,2020-04-30,0.0,1.0,1.0,0.0
8,2020-05-02,1.0,1.0,1.0,0.0
9,2020-05-03,0.0,1.0,1.0,0.0
10,2020-05-04,0.0,1.0,1.0,0.0
11,2020-05-07,0.0,1.0,1.0,0.0
12,2020-05-08,0.0,1.0,1.0,0.0
13,2020-05-09,0.0,1.0,1.0,0.0
14,2020-05-10,1.0,1.0,0.0,1.0
15,2020-05-11,0.0,1.0,1.0,0.0
16,2020-05-13,0.0,1.0,1.0,0.0
17,2020-05-14,0.0,1.0,1.0,0.0
18,2020-05-15,0.0,1.0,1.0,0.0
19,2020-05-16,0.0,1.0,1.0,0.0
20,2020-05-19,1.0,1.0,1.0,0.0
21,2020-05-20,1.0,1.0,1.0,0.0
22,2020-05-22,0.0,1.0,1.0,0.0
23,2020-05-23,1.0,1.0,0.0,1.0
24,2020-05-25,0.0,1.0,1.0,0.0
25,2020-05-26,1.0,1.0,0.0,1.0
26,2020-05-27,0.0,1.0,1.0,0.0
27,2020-05-30,0.0,1.0,1.0,0.0
28,2020-05-31,0.0,1.0,1.0,0.0
29,2020-06-01,1.0,0.8275862068965517,1.7142857142857142,-0.8866995073891625
30,2020-06-03,0.0,1.0,1.0,0.0
31,2020-06-04,1.0,1.0,0.0,1.0
32,2020-06-05,0.0,1.0,1.0,0.0
33,2020-06-06,0.0,1.0,1.0,0.0
34,2020-06-07,1.0,1.0,1.0,0.0
35,2020-06-08,1.0,1.0,0.0,1.0
36,2020-06-09,1.0,1.0,0.0,1.0
37,2020-06-10,1.0,1.0,0.0,1.0
38,2020-06-11,1.0,1.0,1.0,0.0
39,2020-06-12,1.0,1.0,0.0,1.0
40,2020-06-13,1.0,1.0,0.0,1.0
41,2020-06-14,1.0,1.0,1.0,0.0
42,2020-06-15,1.0,1.0,1.0,0.0
43,2020-06-16,1.0,1.0,1.0,0.0
44,2020-06-17,1.0,1.0,1.0,0.0
45,2020-06-18,1.0,1.0,1.0,0.0
46,2020-06-19,1.0,1.0,1.0,0.0
47,2020-06-20,1.0,1.0,1.0,0.0
48,2020-06-21,1.0,1.0,1.0,0.0
49,2020-06-22,1.0,1.0,0.0,1.0
50,2020-06-23,1.0,1.0,1.0,0.0
51,2020-06-24,1.0,1.0,1.0,0.0
52,2020-06-25,0.0,1.0,1.0,0.0
53,2020-06-26,1.0,1.0,1.0,0.0
54,2020-06-27,1.0,1.0,1.0,0.0
55,2020-06-28,1.0,1.0,0.0,1.0
56,2020-06-29,1.0,1.0,0.0,1.0
57,2020-06-30,1.0,1.0,1.0,0.0
58,2020-07-01,1.0,1.0,0.0,1.0
59,2020-07-02,1.0,1.0,1.0,0.0
60,2020-07-03,1.0,1.0,1.0,0.0
61,2020-07-04,1.0,1.0,1.0,0.0
62,2020-07-05,1.0,1.0,1.0,0.0
63,2020-07-06,1.0,1.0,1.0,0.0
64,2020-07-07,0.0,1.0,1.0,0.0
65,2020-07-08,1.0,1.0,1.0,0.0
66,2020-07-09,0.0,1.0,1.0,0.0
67,2020-07-10,1.0,1.0,1.0,0.0
68,2020-07-11,1.0,1.0,1.0,0.0
69,2020-07-12,1.0,1.0,1.0,0.0
70,2020-07-13,1.0,1.0,1.0,0.0
71,2020-07-14,1.0,0.9984239558707644,0.9969924812030075,0.001431474667756838
72,2020-07-15,1.0,1.0,1.0,0.0
73,2020-07-16,1.0,1.0,1.0,0.0
74,2020-07-17,1.0,1.0,1.0,0.0
75,2020-07-18,1.0,1.0,1.0,0.0
76,2020-07-19,1.0,1.0,1.0,0.0
77,2020-07-20,1.0,1.0,1.0,0.0
78,2020-07-21,1.0,1.0,1.0,0.0
79,2020-07-22,1.0,2052.0,1.0,2051.0
80,2020-07-23,1.0,2207.0,1038.0,1169.0
81,2020-07-24,1.0,2267.0,746.0,1521.0
82,2020-07-25,1.0,2036.0,686.0,1350.0
83,2020-07-26,0.9666666666666667,1950.0,647.0,1303.0
84,2020-07-27,0.9629629629629629,1470.0,784.0,686.0
85,2020-07-28,1.0,1898.0,572.0,1326.0
86,2020-07-29,30.0,2270.0,1118.0,1152.0
87,2020-07-30,0.9565217391304348,2233.0,1912.0,321.0
88,2020-07-31,0.9523809523809523,2220.0,1105.0,1115.0
89,2020-08-01,0.9642857142857143,1852.0,1683.0,169.0
90,2020-08-02,1.0,2105.0,2331.0,-226.0
91,2020-08-03,0.9642857142857143,1497.0,2693.0,-1196.0
92,2020-08-04,0.967741935483871,2035.0,4274.0,-2239.0
93,2020-08-05,0.9666666666666667,1848.0,3083.0,-1235.0
94,2020-08-06,1.0,2544.0,2972.0,-428.0
95,2020-08-07,1.0,2147.0,1131.0,1016.0
96,2020-08-08,1.0,2665.0,2229.0,436.0
97,2020-08-09,1.0,1948.0,1837.0,111.0
98,2020-08-10,1.0,1243.0,2037.0,-794.0
99,2020-08-11,1.0,1610.0,1508.0,102.0
100,2020-08-12,1.0,2802.0,2360.0,442.0
101,2020-08-13,1.0,1893.0,2212.0,-319.0
102,2020-08-14,1.0,2452.0,2146.0,306.0
103,2020-08-15,1.0,3495.0,2034.0,1461.0
104,2020-08-16,1.0,2131.0,2356.0,-225.0
105,2020-08-17,1.0,2053.0,2190.0,-137.0
106,2020-08-18,1.0,2242.0,3520.0,-1278.0
107,2020-08-19,1.0,2804.0,2549.0,255.0
108,2020-08-20,1.0,2912.0,1981.0,931.0
109,2020-08-21,1.0,2948.0,2580.0,368.0
110,2020-08-22,1.0,2979.0,3259.0,-280.0
111,2020-08-23,0.8333333333333334,2126.0,1468.0,658.0
112,2020-08-24,0.9629629629629629,1918.0,2034.0,-116.0
113,2020-08-25,1.0,2294.0,1538.0,756.0
114,2020-08-26,0.96875,3284.0,2630.0,654.0
115,2020-08-27,0.9833333333333333,3357.0,3362.0,-5.0
116,2020-08-28,0.9761904761904762,2721.0,2148.0,573.0
117,2020-08-29,0.9615384615384616,2993.0,2174.0,819.0
118,2020-08-30,0.9642857142857143,2821.0,2406.0,415.0
119,2020-08-31,0.9642857142857143,1862.0,2422.0,-560.0
120,2020-09-01,0.975609756097561,2967.0,1137.0,1830.0
121,2020-09-02,0.9696969696969697,3420.0,2383.0,1037.0
122,2020-09-03,0.9666666666666667,3189.0,2631.0,558.0
123,2020-09-04,0.9615384615384616,2963.0,1732.0,1231.0
124,2020-09-05,0.9714285714285714,3093.0,3226.0,-133.0
125,2020-09-06,38.0,2824.0,4540.0,-1716.0
126,2020-09-07,48.0,2942.0,2950.0,-8.0
127,2020-09-08,55.0,3102.0,2330.0,772.0
128,2020-09-09,41.0,3419.0,1564.0,1855.0
129,2020-09-10,33.0,3161.0,1672.0,1489.0
130,2020-09-11,30.0,3426.0,6116.0,-2690.0
131,2020-09-12,21.0,3552.0,3538.0,14.0
132,2020-09-13,45.0,3479.0,3270.0,209.0
133,2020-09-14,37.0,2966.0,3495.0,-529.0
134,2020-09-15,41.0,3084.0,3889.0,-805.0
135,2020-09-16,7.0,3571.0,3773.0,-202.0
136,2020-09-17,34.0,3799.0,2184.0,1615.0
137,2020-09-18,37.0,3623.0,2725.0,898.0
138,2020-09-19,33.0,3733.0,4180.0,-447.0
139,2020-09-20,32.0,3322.0,2970.0,352.0
140,2020-09-21,32.0,2886.0,3536.0,-650.0
141,2020-09-22,26.0,3082.0,4145.0,-1063.0
142,2020-09-23,23.0,3547.0,3536.0,11.0
143,2020-09-24,24.0,4192.0,3854.0,338.0
144,2020-09-25,32.0,4080.0,2517.0,1563.0
145,2020-09-26,27.0,4083.0,2494.0,1589.0
146,2020-09-27,15.0,4217.0,3306.0,911.0
147,2020-09-28,9.0,2722.0,2805.0,-83.0
148,2020-09-29,67.0,4868.0,2373.0,2495.0
149,2020-09-30,24.0,4226.0,3667.0,559.0
150,2020-10-01,41.0,4853.0,2482.0,2371.0
151,2020-10-02,47.0,4259.0,2298.0,1961.0
152,2020-10-03,21.0,3925.0,2001.0,1924.0
153,2020-10-04,22.0,4340.0,2681.0,1659.0
154,2020-10-05,34.0,2189.0,2972.0,-783.0
155,2020-10-06,34.0,5012.0,3354.0,1658.0
156,2020-10-07,55.0,5000.0,2057.0,2943.0
157,2020-10-08,43.0,5121.0,3505.0,1616.0
158,2020-10-09,57.0,5009.0,3045.0,1964.0
159,2020-10-10,30.0,4563.0,1726.0,2837.0
160,2020-10-11,24.0,4623.0,2656.0,1967.0
161,2020-10-12,18.0,3498.0,5764.0,-2266.0
162,2020-10-13,28.0,3776.0,4529.0,-753.0
163,2020-10-14,27.0,4574.0,3291.0,1283.0
164,2020-10-15,45.0,3788.0,3520.0,268.0
165,2020-10-16,24.0,3441.0,3021.0,420.0
166,2020-10-17,14.0,3371.0,4251.0,-880.0
167,2020-10-18,25.0,3535.0,3845.0,-310.0
168,2020-10-19,17.0,2481.0,2363.0,118.0
169,2020-10-20,36.0,2821.0,2798.0,23.0
170,2020-10-21,53.0,2717.0,3844.0,-1127.0
171,2020-10-22,36.0,2807.0,7683.0,-4876.0
172,2020-10-23,21.0,2688.0,4335.0,-1647.0
173,2020-10-24,26.0,2251.0,3005.0,-754.0
174,2020-10-25,20.0,2468.0,6759.0,-4291.0
175,2020-10-26,20.0,1603.0,4031.0,-2428.0
176,2020-10-27,24.0,1874.0,4446.0,-2572.0
177,2020-10-28,23.0,1612.0,4457.0,-2845.0
178,2020-10-29,19.0,2175.0,4378.0,-2203.0
179,2020-10-30,27.0,1811.0,5788.0,-3977.0
180,2020-10-31,17.0,1621.0,4679.0,-3058.0
181,2020-11-01,10.0,2167.0,6018.0,-3851.0
182,2020-11-02,14.0,1439.0,5925.0,-4486.0
183,2020-11-03,13.0,1479.0,4868.0,-3389.0
184,2020-11-04,16.0,1953.0,5827.0,-3874.0
185,2020-11-05,9.0,1627.0,3708.0,-2081.0
186,2020-11-06,12.0,1568.0,831.0,737.0
187,2020-11-07,7.0,1046.0,502.0,544.0
188,2020-11-08,11.0,1579.0,1165.0,414.0
189,2020-11-09,5.0,978.0,959.0,19.0
190,2020-11-10,8.0,1176.0,2257.0,-1081.0
191,2020-11-11,8.0,1665.0,1091.0,574.0
192,2020-11-12,8.0,1069.0,991.0,78.0
